case,frame,roi,normalized_enhancement,AT,TTP
V11,11,proximal,0.1405719667673111,12,48
V11,12,proximal,0.33260422945022583,12,48
V11,13,proximal,0.5294530391693115,12,48
V11,14,proximal,0.5130711793899536,12,48
V11,15,proximal,0.5182259678840637,12,48
V11,16,proximal,0.5515533089637756,12,48
V11,17,proximal,0.5758517980575562,12,48
V11,18,proximal,0.6079739332199097,12,48
V11,19,proximal,0.6147834658622742,12,48
V11,20,proximal,0.6296676397323608,12,48
V11,21,proximal,0.618249773979187,12,48
V11,22,proximal,0.6336833238601685,12,48
V11,23,proximal,0.6394496560096741,12,48
V11,24,proximal,0.6445522308349609,12,48
V11,25,proximal,0.6467174291610718,12,48
V11,26,proximal,0.6296699047088623,12,48
V11,27,proximal,0.6237943172454834,12,48
V11,28,proximal,0.6180538535118103,12,48
V11,29,proximal,0.6646018028259277,12,48
V11,30,proximal,0.6757073998451233,12,48
V11,31,proximal,0.6864295601844788,12,48
V11,32,proximal,0.6595790386199951,12,48
V11,33,proximal,0.645552933216095,12,48
V11,34,proximal,0.6296463012695312,12,48
V11,35,proximal,0.6602647304534912,12,48
V11,36,proximal,0.7171963453292847,12,48
V11,37,proximal,0.7682944536209106,12,48
V11,38,proximal,0.8085356950759888,12,48
V11,39,proximal,0.8356173634529114,12,48
V11,40,proximal,0.866499125957489,12,48
V11,41,proximal,0.8655815124511719,12,48
V11,42,proximal,0.900651216506958,12,48
V11,43,proximal,0.9194570183753967,12,48
V11,44,proximal,0.9542465806007385,12,48
V11,45,proximal,0.949475884437561,12,48
V11,46,proximal,0.9682886004447937,12,48
V11,47,proximal,0.9834311604499817,12,48
V11,48,proximal,1.0,12,48
V11,49,proximal,0.9706225991249084,12,48
V11,50,proximal,0.9214742183685303,12,48
V11,51,proximal,0.855298638343811,12,48
V11,52,proximal,0.8233960270881653,12,48
V11,53,proximal,0.805194616317749,12,48
V11,0,mid,0.0,15,45
V11,1,mid,0.0,15,45
V11,2,mid,0.0,15,45
V11,3,mid,0.0014491352485492826,15,45
V11,4,mid,0.01079680398106575,15,45
V11,5,mid,0.010977936908602715,15,45
V11,6,mid,0.0,15,45
V11,7,mid,0.0015194634906947613,15,45
V11,8,mid,0.008360175415873528,15,45
V11,9,mid,0.0,15,45
V11,10,mid,0.0,15,45
V11,11,mid,0.0,15,45
V11,12,mid,0.008246144279837608,15,45
V11,13,mid,0.05833001062273979,15,45
V11,14,mid,0.1297800987958908,15,45
V11,15,mid,0.20384591817855835,15,45
V11,16,mid,0.27336713671684265,15,45
V11,17,mid,0.2969096601009369,15,45
V11,18,mid,0.4178624451160431,15,45
V11,19,mid,0.5476005673408508,15,45
V11,20,mid,0.7143986821174622,15,45
V11,21,mid,0.8003806471824646,15,45
V11,22,mid,0.8390894532203674,15,45
V11,23,mid,0.8626765608787537,15,45
V11,24,mid,0.8680692911148071,15,45
V11,25,mid,0.8663869500160217,15,45
V11,26,mid,0.8372372984886169,15,45
V11,27,mid,0.8166837096214294,15,45
V11,28,mid,0.8070405721664429,15,45
V11,29,mid,0.8261592984199524,15,45
V11,30,mid,0.8632959723472595,15,45
V11,31,mid,0.906485915184021,15,45
V11,32,mid,0.9493306279182434,15,45
V11,33,mid,0.9628610014915466,15,45
V11,34,mid,0.9755731821060181,15,45
V11,35,mid,0.9562659859657288,15,45
V11,36,mid,0.9388394355773926,15,45
V11,37,mid,0.8985679745674133,15,45
V11,38,mid,0.8953201174736023,15,45
V11,39,mid,0.9156261086463928,15,45
V11,40,mid,0.9417865872383118,15,45
V11,41,mid,0.9268394112586975,15,45
V11,42,mid,0.9294537901878357,15,45
V11,43,mid,0.9543178677558899,15,45
V11,44,mid,0.9990565180778503,15,45
V11,45,mid,1.0,15,45
V11,46,mid,0.9975480437278748,15,45
V11,47,mid,0.9949436187744141,15,45
V11,48,mid,0.9998703002929688,15,45
V11,49,mid,0.9825505018234253,15,45
V11,50,mid,0.9466103315353394,15,45
V11,51,mid,0.8945226669311523,15,45
V11,52,mid,0.833595335483551,15,45
V11,53,mid,0.8005618453025818,15,45
V11,0,distal,0.08854975551366806,25,49
V11,1,distal,0.08760766685009003,25,49
V11,2,distal,0.08990565687417984,25,49
V11,3,distal,0.07004955410957336,25,49
V11,4,distal,0.007975565269589424,25,49
V11,5,distal,0.0,25,49
V11,6,distal,0.0,25,49
V11,7,distal,0.0,25,49
V11,8,distal,0.0,25,49
V11,9,distal,0.0,25,49
V11,10,distal,0.0,25,49
V11,11,distal,0.004024857189506292,25,49
V11,12,distal,0.0,25,49
V11,13,distal,0.0,25,49
V11,14,distal,0.0,25,49
V11,15,distal,0.0,25,49
V11,16,distal,0.006388412788510323,25,49
V11,17,distal,0.07024892419576645,25,49
V11,18,distal,0.0,25,49
V11,19,distal,0.0,25,49
V11,20,distal,0.0,25,49
V11,21,distal,0.0,25,49
V11,22,distal,0.0,25,49
V11,23,distal,0.02051668055355549,25,49
V11,24,distal,0.10706750303506851,25,49
V11,25,distal,0.22530145943164825,25,49
V11,26,distal,0.3785707354545593,25,49
V11,27,distal,0.44676050543785095,25,49
V11,28,distal,0.5090286731719971,25,49
V11,29,distal,0.5273706912994385,25,49
V11,30,distal,0.5786213278770447,25,49
V11,31,distal,0.5912894010543823,25,49
V11,32,distal,0.6151119470596313,25,49
V11,33,distal,0.6227425932884216,25,49
V11,34,distal,0.6769035458564758,25,49
V11,35,distal,0.7609459757804871,25,49
V11,36,distal,0.8210172653198242,25,49
V11,37,distal,0.8357932567596436,25,49
V11,38,distal,0.8441482186317444,25,49
V11,39,distal,0.867783784866333,25,49
V11,40,distal,0.8904446959495544,25,49
V11,41,distal,0.9251209497451782,25,49
V11,42,distal,0.929068386554718,25,49
V11,43,distal,0.9771904945373535,25,49
V11,44,distal,0.9726724028587341,25,49
V11,45,distal,0.9644890427589417,25,49
V11,46,distal,0.945246160030365,25,49
V11,47,distal,0.9476431608200073,25,49
V11,48,distal,0.9808775782585144,25,49
V11,49,distal,1.0,25,49
V11,50,distal,0.9807537794113159,25,49
V11,51,distal,0.9437404870986938,25,49
V11,52,distal,0.8975307941436768,25,49
V11,53,distal,0.8888673782348633,25,49
