case,normalized_centerline_position,smoothed_diameter_px,reference_diameter_px
V09,0.0,19.57706642150879,14.86302982477863
V09,0.0017652644117575026,19.557573318481445,14.852950340966204
V09,0.004261725284039526,19.511962890625,14.83869579825695
V09,0.00675818615632155,19.44023323059082,14.824441255547695
V09,0.008523450568079053,19.342384338378906,14.81436177173527
V09,0.011019911440361076,19.21841812133789,14.800107229026015
V09,0.0135163723126431,19.06833267211914,14.785852686316762
V09,0.015281636724400601,18.89212989807129,14.775773202504334
V09,0.017046901136158105,18.689807891845703,14.765693718691908
V09,0.01954336200844013,18.461366653442383,14.751439175982654
V09,0.02130862642019763,18.206804275512695,14.741359692170228
V09,0.023073890831955133,17.919281005859375,14.7312802083578
V09,0.02557035170423716,17.524707794189453,14.717025665648547
V09,0.027335616115994662,17.208152770996094,14.70694618183612
V09,0.02983207698827669,16.84800148010254,14.692691639126867
V09,0.03232853786055871,16.511058807373047,14.678437096417612
V09,0.034824998732840735,16.201480865478516,14.664182553708358
V09,0.03659026314459824,15.868692398071289,14.654103069895932
V09,0.03835552755635574,15.536293029785156,14.644023586083504
V09,0.040120791968113245,15.131392478942871,14.633944102271078
V09,0.04188605637987075,14.795175552368164,14.62386461845865
V09,0.04365132079162825,14.42989730834961,14.613785134646225
V09,0.045416585203385755,14.036664009094238,14.603705650833797
V09,0.047181849615143254,13.794989585876465,14.593626167021371
V09,0.04894711402690076,13.60683822631836,14.583546683208944
V09,0.05071237843865826,13.670293807983398,14.573467199396518
V09,0.052477642850415764,13.72630500793457,14.563387715584092
V09,0.05424290726217327,13.782094955444336,14.553308231771664
V09,0.05600817167393077,13.88012981414795,14.543228747959239
V09,0.05777343608568827,14.112086296081543,14.533149264146811
V09,0.05953870049744577,14.299148559570312,14.523069780334385
V09,0.06130396490920328,14.452329635620117,14.512990296521957
V09,0.06306922932096078,14.579574584960938,14.502910812709532
V09,0.06483449373271828,14.680883407592773,14.492831328897104
V09,0.06659975814447579,14.756255149841309,14.482751845084678
V09,0.06836502255623329,14.805691719055176,14.47267236127225
V09,0.07013028696799078,14.829191207885742,14.462592877459825
V09,0.07189555137974829,14.826754570007324,14.452513393647397
V09,0.0736608157915058,14.790435791015625,14.442433909834971
V09,0.07615727666378781,14.816057205200195,14.428179367125717
V09,0.07792254107554532,14.73043155670166,14.41809988331329
V09,0.07968780548730282,14.572072982788086,14.408020399500863
V09,0.08145306989906032,14.385693550109863,14.397940915688437
V09,0.08321833431081782,14.160279273986816,14.38786143187601
V09,0.08498359872257533,14.008485794067383,14.377781948063584
V09,0.08674886313433283,13.826637268066406,14.367702464251156
V09,0.08851412754609032,13.698473930358887,14.35762298043873
V09,0.09027939195784783,13.648818016052246,14.347543496626303
V09,0.09204465636960533,13.741079330444336,14.337464012813877
V09,0.09454111724188735,13.839935302734375,14.323209470104622
V09,0.09630638165364486,13.813116073608398,14.313129986292196
V09,0.09807164606540236,13.872252464294434,14.303050502479769
V09,0.09983691047715987,13.859827041625977,14.292971018667343
V09,0.10160217488891736,13.865208625793457,14.282891534854915
V09,0.10409863576119939,13.887015342712402,14.268636992145662
V09,0.10586390017295688,13.923869132995605,14.258557508333235
V09,0.10762916458471439,13.929145812988281,14.248478024520809
V09,0.10939442899647189,14.017086029052734,14.238398540708381
V09,0.11189088986875391,14.068042755126953,14.224143997999128
V09,0.11365615428051142,14.142095565795898,14.2140645141867
V09,0.11542141869226892,14.148592948913574,14.203985030374275
V09,0.11791787956455094,14.146772384643555,14.18973048766502
V09,0.11968314397630844,14.305558204650879,14.179651003852594
V09,0.12144840838806593,14.424652099609375,14.169571520040167
V09,0.12394486926034796,14.547883987426758,14.155316977330914
V09,0.12571013367210546,14.717164039611816,14.145237493518486
V09,0.1282065945443875,14.855716705322266,14.130982950809234
V09,0.1307030554166695,15.043573379516602,14.116728408099979
V09,0.132468319828427,15.169113159179688,14.106648924287553
V09,0.13496478070070902,15.149239540100098,14.092394381578298
V09,0.13673004511246653,15.211292266845703,14.082314897765873
V09,0.13922650598474853,15.211028099060059,14.068060355056618
V09,0.14172296685703056,15.073064804077148,14.053805812347365
V09,0.14348823126878807,15.03029727935791,14.043726328534937
V09,0.14525349568054557,14.882814407348633,14.033646844722512
V09,0.14774995655282758,14.77759075164795,14.019392302013257
V09,0.14951522096458508,14.570940017700195,14.009312818200831
V09,0.1520116818368671,14.48285961151123,13.995058275491576
V09,0.15377694624862462,14.254043579101562,13.984978791679149
V09,0.15554221066038212,14.149730682373047,13.974899307866723
V09,0.15803867153266413,14.109066009521484,13.960644765157468
V09,0.15980393594442163,13.954684257507324,13.950565281345042
V09,0.16156920035617914,13.953557968139648,13.940485797532617
V09,0.16406566122846114,13.801778793334961,13.926231254823362
V09,0.16583092564021865,13.794787406921387,13.916151771010934
V09,0.16832738651250068,13.922467231750488,13.901897228301682
V09,0.17009265092425818,13.873067855834961,13.891817744489254
V09,0.17258911179654018,13.90265941619873,13.877563201780001
V09,0.1743543762082977,13.778797149658203,13.867483717967573
V09,0.17685083708057972,13.743021011352539,13.85322917525832
V09,0.17934729795286172,13.685243606567383,13.838974632549066
V09,0.18111256236461923,13.59475326538086,13.82889514873664
V09,0.18287782677637673,13.491354942321777,13.818815664924212
V09,0.18537428764865876,13.474245071411133,13.80456112221496
V09,0.18787074852094077,13.330692291259766,13.790306579505705
V09,0.1903672093932228,13.31100845336914,13.77605203679645
V09,0.1921324738049803,13.184342384338379,13.765972552984024
V09,0.19462893467726233,13.152719497680664,13.75171801027477
