Metric,Global,Mean,Std,Valid_Frames
Dice,0.9007150179388508,0.8988202214241028,0.04751010984182358,124
IoU,0.8193644347346791,0.81911700963974,0.06744341552257538,124
Sensitivity,0.8971453778724783,0.8937007784843445,0.06051575392484665,124
Specificity,0.9940406941435557,0.9939969778060913,0.005770101211965084,124
Precision,0.9043131778713447,0.9074785709381104,0.0607818141579628,124
Accuracy,0.9883172127508348,0.9883172512054443,0.007018502801656723,124
