Metric,Global,Mean,Std,Valid_Frames
Dice,0.8028064745272335,0.769725501537323,0.10120436549186707,76
IoU,0.6705736854116694,0.6360659003257751,0.12702997028827667,76
Sensitivity,0.798985692332557,0.7818889021873474,0.11139991134405136,76
Specificity,0.9943594500049089,0.9943562746047974,0.0032154349610209465,76
Precision,0.8066639745810784,0.7802817821502686,0.14427217841148376,76
Accuracy,0.9887693304764598,0.9887694120407104,0.004204776603728533,76
