centerline_arc_length_pixel,normalized_centerline_position,apparent_diameter_pixel,reference_diameter_pixel,diameter_stenosis_percent
0.0,0.0,3.4455755,11.082911224297309,68.9109169426627
1.0,0.0017943148194093893,3.9691405,11.086765216595252,64.19929120812128
2.0,0.0035886296388187786,4.4715247,11.090619208893193,59.68192008758159
3.0,0.005382944458228168,4.9527273,11.094473201191136,55.35860758780039
4.414213562373095,0.007920488811003957,5.4127493,11.099923569368165,51.23615710829246
5.414213562373095,0.009714803630413346,5.851589,11.103777561666108,47.30091475280926
6.414213562373095,0.011509118449822735,6.269249,11.107631553964051,43.559084293131804
7.414213562373095,0.013303433269232124,6.6657267,11.111485546261992,40.01048164145305
8.82842712474619,0.015840977622007913,7.0410237,11.116935914439024,36.66398920149762
9.82842712474619,0.017635292441417302,7.3951397,11.120789906736967,33.50166889013975
10.82842712474619,0.01942960726082669,7.728072,11.124643899034908,30.531959165782357
11.82842712474619,0.02122392208023608,8.078353,11.12849789133285,27.408415699541607
12.82842712474619,0.02301823689964547,8.461932,11.132351883630792,23.987920335552925
13.82842712474619,0.02481255171905486,8.690509,11.136205875928734,21.961672231176372
14.82842712474619,0.02660686653846425,8.828652,11.140059868226677,20.748609196636608
15.82842712474619,0.028401181357873638,9.022429,11.143913860524618,19.037157149895513
16.82842712474619,0.03019549617728303,9.146239,11.147767852822561,17.954523260143958
17.82842712474619,0.031989810996692424,9.311855,11.151621845120502,16.49774852940696
18.82842712474619,0.03378412581610181,9.373401,11.155475837418445,15.974891391629411
20.242640687119287,0.0363216701688776,9.573261,11.160926205595477,14.225207795148581
21.242640687119287,0.03811598498828699,9.759511,11.164780197893418,12.586626687026456
22.242640687119287,0.03991029980769638,9.9921255,11.16863419019136,10.534042560505501
23.656854249492383,0.04244784416047217,10.213694,11.174084558368392,8.5948064432243
24.656854249492383,0.04424215897988156,10.393346,11.177938550666333,7.019118187895705
25.656854249492383,0.04603647379929095,10.56741,11.181792542964276,5.49448643004629
27.07106781186548,0.04857401815206674,10.797456,11.187242911141308,3.4842107798913493
28.07106781186548,0.05036833297147613,10.962254,11.191096903439249,2.044869549939112
29.07106781186548,0.052162647790885516,11.113859,11.194950895737191,0.724359756971577
30.485281374238575,0.05470019214366131,11.268269,11.200401263914221,0.0
31.485281374238575,0.0564945069630707,11.469888,11.204255256212164,0.0
32.89949493661167,0.05903205131584648,11.490663,11.209705624389196,0.0
33.89949493661167,0.06082636613525587,11.556421,11.213559616687137,0.0
35.31370849898476,0.06336391048803165,11.6704235,11.219009984864169,0.0
36.31370849898476,0.06515822530744105,11.576323,11.222863977162111,0.0
37.31370849898476,0.06695254012685044,11.492118,11.226717969460053,0.0
38.72792206135785,0.06949008447962622,11.400629,11.232168337637084,0.0
39.72792206135785,0.0712843992990356,11.355429,11.236022329935025,0.0
40.72792206135785,0.07307871411844499,11.343398,11.239876322232968,0.0
41.72792206135785,0.07487302893785439,11.278046,11.24373031453091,0.0
43.142135623730944,0.07741057329063017,11.313248,11.24918068270794,0.0
44.142135623730944,0.07920488811003956,11.325571,11.253034675005884,0.0
45.142135623730944,0.08099920292944894,11.377216,11.256888667303826,0.0
46.142135623730944,0.08279351774885833,11.463674,11.260742659601767,0.0
47.556349186104036,0.08533106210163412,11.56782,11.2661930277788,0.0
48.556349186104036,0.08712537692104351,11.691479,11.270047020076742,0.0
49.556349186104036,0.0889196917404529,11.826756,11.273901012374683,0.0
50.97056274847713,0.09145723609322869,11.893532,11.279351380551715,0.0
51.97056274847713,0.09325155091263808,11.960816,11.283205372849656,0.0
52.97056274847713,0.09504586573204746,12.0637865,11.287059365147599,0.0
54.38477631085022,0.09758341008482324,12.243884,11.29250973332463,0.0
55.38477631085022,0.09937772490423263,12.24786,11.296363725622571,0.0
56.38477631085022,0.10117203972364203,12.264623,11.300217717920514,0.0
57.38477631085022,0.10296635454305142,12.273735,11.304071710218455,0.0
